Text,Link
玉树芝兰》里，写了一系列,https://www.jianshu.com/nb/130182
如何用Python做词云？》受到了读者们非常热烈的欢迎。,https://www.jianshu.com/p/e4b24a734ccc
数据科学相关的文章。,https://www.jianshu.com/p/30b4fa6793f6
索引贴。,https://www.jianshu.com/p/30b4fa6793f6
教程做完了词云，发现如果对中文文本做分析，就会出现乱码：,https://www.jianshu.com/p/e4b24a734ccc
如何安装Python运行环境Anaconda？（视频教程）》，自己尝试安装Anaconda，运行起第一个Jupyter Notebook，输出一个“Hello world!”出来。,https://www.jianshu.com/p/772740d57576
如何用Python做词云？》一步步执行。用几行Python代码，你就可以做出这样的词云来。,https://www.jianshu.com/p/e4b24a734ccc
如何用Python做词云？（基础篇视频教程）》，供你观看。,https://www.jianshu.com/p/a2924231037c
如何用Python做中文分词？》，你就能做出这样的中文词云。,https://www.jianshu.com/p/721190534061
Python编程遇问题，文科生怎么办？》的,https://www.jianshu.com/p/af6201d2f0c6
如何在Jupyter Notebook中使用Python虚拟环境？》。,https://www.jianshu.com/p/afea092dda1d
如何用Python做情感分析？》这篇文章，分别从英文和中文两个案例，分别采用不同的软件包，针对性地解决应用需求。,https://www.jianshu.com/p/d50a14541d01
如何用Python做舆情时间序列可视化？》这篇文章，一步步指引你在时间刻度上可视化情感分析结果：,https://www.jianshu.com/p/4ea083874df4
Python编程遇问题，文科生怎么办？》的,https://www.jianshu.com/p/af6201d2f0c6
如何用Python和机器学习训练中文文本情感分类模型？》一文。,https://www.jianshu.com/p/29aa3ad63f9d
如何用Python和R对《权力的游戏》故事情节做情绪分析？》一文分析了《权力的游戏》中某一集剧本，你会获得这样的结果：,https://www.jianshu.com/p/0c782715e58a
文章，跟结尾做对比。,https://www.jianshu.com/p/0c782715e58a
如何用Python提取中文关键词？》一文。它采用词汇向量化、TextRank等成熟的关键词提取算法来解决问题。,https://www.jianshu.com/p/cf383fd471bb
文科生如何高效学数据科学？》。文中提到了以下几个方面：,https://www.jianshu.com/p/e3f52e0860fd
如何高效入门Github？》一文提供了文档和视频教程资源，希望能对你掌握这个数据富矿提供帮助。,https://www.jianshu.com/p/13d356e76659
如何高效学Python？》帮助你给自己的学习特性做出了分类。根据分类的结果，你可以选择更适合自己的学习路径。,https://www.jianshu.com/p/3678e3dd29f5
贷还是不贷：如何用Python和机器学习帮你决策？》中的案例，选择了贷款审批辅助决策。,https://www.jianshu.com/p/67a71e366516
Python编程遇问题，文科生怎么办？》的第一部分，对这些问题做了详细的阐述，请根据列出的步骤尝试解决。,https://www.jianshu.com/p/af6201d2f0c6
这篇文章展示给你了一种,https://www.jianshu.com/p/af6201d2f0c6
如何用Python从海量文本抽取主题？》。,https://www.jianshu.com/p/fdde9fc03f94
如何用Python和机器学习训练中文文本情感分类模型？》一文中，我不仅对停用词处理方式进行了详细的介绍，而且把监督学习Naive Bayes模型应用于情感分析，手把手教你如何训练自己的情感分类模型。,https://www.jianshu.com/p/29aa3ad63f9d
如何用Python和深度神经网络发现即将流失的客户？》为你介绍了深度神经网络的基本结构。,https://www.jianshu.com/p/7c08e9d79514
如何用Python和深度神经网络发现即将流失的客户？》一文末尾还为你提供了进一步掌握深度学习的相关资源。,https://www.jianshu.com/p/7c08e9d79514
Tensorflow执行pip升级安装的坑》。,https://www.jianshu.com/p/94e6778937ea
如何用Python和深度神经网络识别图像？》一文，举例分类哆啦a梦和瓦力这两个机器人的各种花式图像集合。,https://www.jianshu.com/p/0db025ebf0a1
如何用Python和深度神经网络寻找近似图片？》。,https://www.jianshu.com/p/6fe5c75a8aa5
讲解答疑视频。,https://www.jianshu.com/p/fe114409daaf
这段视频里，我主要谈及了以下几个方面：,https://www.jianshu.com/p/fe114409daaf
如何免费云端运行Python深度学习框架？》。,https://www.jianshu.com/p/eebf9a13c52a
如何用Python读取开放数据？》一文中，我为你讲解了如何把开放数据集下载并且在Python中使用。,https://www.jianshu.com/p/424e1c65f424
如何用R和API免费获取Web数据？》一文，我们使用R读取维基百科API，获得指定条目的访问数量记录，并且做了可视化。,https://www.jianshu.com/p/c2e030187495
如何用Python爬数据？（一）网页抓取》一文为你介绍了非常人性化、易用的网页抓取软件包,https://www.jianshu.com/p/ba02079ecd2f
如何用Python批量提取PDF文本内容？》。,https://www.jianshu.com/p/31939ee6f1c9
玉树芝兰》专栏目前的数据科学类文章进行了梳理和归类，建立了链接，以帮你看清它们之间的逻辑依赖关系。,https://www.jianshu.com/nb/130182
“玉树芝兰”(nkwangshuyi)。,http://oejqwrqkh.bkt.clouddn.com/2016-10-11-22-26-16.jpg
如何高效入门数据科学？》，里面还有更多的有趣问题及解法。,https://www.jianshu.com/p/85f4624485b9
